Case Name ,Year,Type,Amount Stolen,Summary,Means of Crime
CoinrailHacker,2018,CEX Hack,"$40,000,000 ","Coinrail, a cryptocurrency exchange, has been hacked, with other sources suggesting it lost  cryptocurrencies totaling as much as $40 million in the attack.",Cyber Intrusion
BancorHacker,2018,CEX Hack,"$23,500,000 ","Bancor, a crypto company that touts a decentralized exchange servic, has lost  some $23.5 million of cryptocurrency tokens belonging to its users  following a hack.",Wallet Attack
SpankChainHacker,2018,Others,"$40,000 ","SpankChain, a cryptocurrency project focused on the adult industry, has suffered a breach that saw almost $40,000 in ethereum (ETH) stolen.",Cyber Intrusion
FakeMetadiumPresale,2018,Scam,unknown,,
BitpointHacker,2018,CEX Hack,"$32,000,000 ","Japanese cryptocurrency exchange Bitpoint was hacked last week when 
hackers stole 3.5 billion yen ($32 million) from the exchange’s hot 
wallet, of which 2.5 billion yen were customer funds.",Unusual Withdrawal from Hot Wallet
CryptopiaHacker,2019,CEX Hack,"$45,000 ","Controversy still surrounds a liquidated New Zealand cryptocurrency exchange, which
allegedly got hacked again. Adding to the $30 million stolen in 2019, 
Cryptopia reports that it was the target of another theft incident on 
February 1, 2021",Accessed a Dormant Wallet
DragonExHacker,2019,CEX Hack,n/a,"DragonEx announced the news on its official Telegram channel on Monday, stating 
that, on Sunday, March 24, it had suffered a cyberattack that saw 
cryptocurrency funds owned by users and the exchange “transferred and 
stolen.” No information has yet been provided on the value of the 
losses.",Cyberattack
UpbitHacker,2019,CEX Hack,"$2,000,000,000 ","At approximately 13:06 on November 27th, 2019 (KST), 342,000 ETH was sent 
from Upbit’s Ethereum hot wallet to an anonymous wallet address.",Unusual Withdrawal from Hot Wallet
PlusTokenPonzi,2019,Scam,"$49,000,000 ","In the case of one notable 2019 scam, the consequences may go beyond the direct victims. We believe that the criminals behind the PlusToken Ponzi scheme could be driving down the price of Bitcoin when they liquidate their stolen funds via OTC brokers",Stolen Funds via OTC Brokers
KucoinHacker,2020,CEX Hack,"$280,000,000 ","In a live stream on 4:30 UTC Saturday, KuCoin CEO Johnny Lyu said one or 
more hackers obtained the private keys to the exchange’s hot wallets. 
KuCoin transferred what was left in them to new hot wallets, abandoned 
the old ones and froze customer deposits and withdrawals",Obtain private keys
