Service Provider Name,Category,Website
Binance,Centralized Exchanges,https://www.binance.com/en
FixedFloat,Centralized Exchanges,https://fixedfloat.com/en/
HitBTC,Centralized Exchanges,https://hitbtc.com/
Huobi ,Centralized Exchanges,https://www.huobi.com/en-us/
YoBit.net,Centralized Exchanges,https://yobit.net/en/
KuCoin,Centralized Exchanges,https://www.kucoin.com/
Hotbit ,Centralized Exchanges,https://www.hotbit.io/
OKEx,Centralized Exchanges,https://www.okx.com/
AscendEX,Centralized Exchanges,https://ascendex.com/en/global-digital-asset-platform
Gate.io,Centralized Exchanges,https://www.gate.io/
Kraken,Centralized Exchanges,https://www.kraken.com/
Bitrue,Centralized Exchanges,https://www.bitrue.com/home/
BitMart,Centralized Exchanges,https://www.bitmart.com/en-US
HitBTC,Centralized Exchanges,https://hitbtc.com/
Coinbase,Decentralized Exchanges,https://www.coinbase.com/
Bitfinex,Decentralized Exchanges,https://www.bitfinex.com/
1inch.exchange,Decentralized Exchanges,https://app.1inch.io/
Balancer,Decentralized Exchanges,https://coinmarketcap.com/currencies/balancer/
Kyber,Decentralized Exchanges,https://kyber.network/
Nexus Mutual,Decentralized Exchanges,https://nexusmutual.io/
Uniswap,Decentralized Exchanges,https://uniswap.org/
Curve.fi,Decentralized Exchanges,https://curve.fi/
ParaSwap,Decentralized Exchanges,https://www.paraswap.io/
Dododex,Decentralized Exchanges,https://www.dododex.com/
Paraswap,Decentralized Exchanges,https://www.paraswap.io/
CRO Defi Swap,Decentralized Exchanges,https://crypto.org/defi/swap
PoolTogether,Decentralized Exchanges,https://pooltogether.com/
Maker,Decentralized Exchanges,https://makerdao.com/
POA Network: xDAI Bridge,Crossing Chain Services,https://www.poa.network/how-to-swap
Polygon (Matic): ERC20 Bridge,Crossing Chain Services,https://wiki.polygon.technology/docs/develop/ethereum-polygon/getting-started/
Eth2Depositor,Crossing Chain Services,https://dappradar.com/dapp/eth2-deposit-contract
Wormhole: Portal Token Bridge,Crossing Chain Services,https://www.portalbridge.com/#/transfer
ShapeShift ,Crossing Chain Services,https://www.prnewswire.com/news-releases/shapeshift-becomes-the-first-defi-platform-to-offer-cross-chain-bitcoin-swaps-via-a-hardware-wallet-device-301280570.html
Aave: Lending Pool,Loan Services,https://docs.aave.com/developers/v/1.0/developing-on-aave/the-protocol/lendingpool
Compound,Loan Services,https://www.ulam.io/blog/how-compound-protocol-works
Lendf.Me,Loan Services,https://www.lendf.me
Tornado.Cash,Mixing Services,https://en.wikipedia.org/wiki/Tornado_Cash
Fake_Phishing4634,others,https://etherscan.com/address/0x03e89f2e1ebcea5d94c1b530f638cea3950c2e2b
MetaMask,others,https://metamask.io/
MEV Bot,others,https://mevboteth.com/
Nexus Mutual: Hugh Karp,others,https://etherscan.com/address/0x87b2a7559d85f4653f13e6546a14189cd5455d45
